input,output
Eric has 3 boxes of pencils.  Each box holds 9 pencils.How many pencils does Eric have?,27
Alyssa has 36 books.  Nancy has 7 times more books than  Alyssa.How many books does Nancy have ?,252
Joan bought 6 dozen eggs from the grocery store to bake some cakes.How many eggs did Joan buy ?,72
"Each child has 5 bottle caps.If there are 9 children, how many bottle caps are there in total?",45
".If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",2
 Andrew spent 3 day working on his Science report.  He worked for 2. 5 hours each day.How many hours did he work?,7.5
Benny has 6 blue marbles.  Keith has 5 times more blue marbles than Benny.How many blue marbles does Keith have ?,30
"Ashley sold 12 boxes of Samoas.How many cases of 12 boxes, plus extra boxes does Ashley need?",1
There were a total of 7 baseball games a month.   The season is played for 2 months.How many baseball games are in a season ?,14
"Sam, Dan, Tom, and Keith each have 14 Pokemon cards.How many Pokemon cards do they have in all ?",56
 Bob’s car gets 10 kilometers per gallon.How far can he drive on 10 gallons of gas?,100
Martin has 8 boxes of crayons.  Each box holds 7 crayons.How many crayons does Martin have?,56
"Joshua has 40 Skittles and 6 eggs.If he shares the Skittles among 5 friends, how many Skittles does each friend get?",8
It took Katherine 3 hours to run to Louis's house at 8 miles per hour.How far is it between Katherine's house and Louis's house?,24
" Tammy drove 55 miles in one hour.At that rate, how far can she drive in 36 hours?",1980
If Anne wandered for 3 hours at 2 miles per hour.How far did Anne go?,6
Jeremy strolled 20 kilometers at 2 kilometers per hour.How long did Jeremy stroll?,10
Jason's shelves hold 45 books each.How many shelves will Jason need if Jason has 315 books?,7
" I have 224 cents to buy candy.If each piece of bulk candy costs 8 cents, how many gumdrops can I buy?",28
" Uncle Dave bought 143 ice cream sandwiches.If he wants to give them to his 11 hungry nieces, how many can each niece get?",13
Martin strolled to Lawrence's house.  It is 12 miles from Martin's house to Lawrence's house.  It took Martin 6 hours to get there.How fast did Martin go?,2
 It takes 7 minutes to bake one pan of cookies.How long will it take to bake 4 pans of cookies?,28
There are 9 bottle caps in each box.How many bottle caps are in 6 boxes?,54
 There were 150 book shelves.  Each book shelf had 15 books.How many books were on the shelves?,2250
Maria has 3 boxes of eggs.  Each box holds 7 eggs and there are 8 boxes in a case.How many eggs does Maria have?,21
 I have a pet golden retriever.  Each year he gains 11 pounds.  He is 8 years old.How many pounds does he weigh?,88
".If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",5
 The Hawks scored 3 touchdowns worth 7 points each.How many points do they have?,21
".If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",5
 Each CD rack holds 8 CDs.  A shelf can hold 4 racks.How many total CDs can fit on the shelf?,32
 Ted has 15 candy bars.  He wants to put them into 5 bags so there are the same number of candy bars in each bag.How many candy bars  should go in each bag?,3
Gumballs come in packages of 5.  Nathan ate 20 gumballs.How many whole boxes did he eat and how many gumballs does he have left?,4
Eric wants to split a collection of peanuts into groups of 8.  Eric has 64 peanuts.How many groups will be created?,8
Christopher strolled 5 miles at 4 miles per hour.How long did Christopher stroll?,1.25
Christine wandered 20 miles at 4 miles per hour.How long did Christine wander?,5
Betty bought 88 pink flower stones and wanted to make 8 bracelets out of these stones.How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?,11
" If each ball costs $1.54, how much must Kyoko pay for 3 balls?",4.62
"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists.  They were placed in shelves that can contain 8 wood carvings at a time.If 56 wood carvings were displayed, how many shelves were filled with carvings?",7
Fred has 90 cents in his bank.How many dimes does Fred have ?,9
Emily collected eggs from the hen and put them into 303 baskets.  She put 28 eggs into each basket.How many eggs did Emily collect?,8484
There are 6 marbles in each box.How many marbles are in 3 boxes?,18
"When relatives visit Haley and her family, she and her cousins do origami.If she has 48 origami papers to give away to her 6 cousins, how many will each receive if she gives everyone the same number of origami papers?",8
"Mary earns $46 cleaning a home.How many homes did she clean, if she made 276 dollars?",6
"Nancy goes fishing with Joan.  They catch 18 trout.If they equally split up the trout, how many will each one get ?",9
"The mini library also has a section for the classics.If Jack has a collection of 6 classic authors, with each author having 33 books, how many books does he have in the classics section?",198
David has 7 boxes of stuffed toy dogs.  Each box has 4 dogs in it.How many dogs are there in all?,28
 The Sumata family took a 5-day vacation by car.  Each day they drove 250 miles.How many total miles did they drive?,1250
Kimberly went to the store 3 times last month.  She buys 7 peanuts each time she goes to the store.How many peanuts did Kimberly buy last month?,21
The Sumata family took a 5 day vacation by car.  Each day they drove 250 miles.How many total miles did they drive?,1250
She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes.  Every box can contain 8 crayons.How many boxes does she need?,10
 Ellen went to a garage sale to buy chairs.  Each chair cost 15 dollars.How much money did Ellen spend for the 12 chairs she bought?,180
A restaurant sold 49 hamburgers last week.How many hamburgers on average were sold each day ?,7
"There are 36 bananas in Diane's banana collection.If the bananas are organized into 6 groups, how big is each group?",6
" 219 people are going to the zoo, and there are 3 buses to take people.How many will go in each bus if the same number go in each one and  all of the people go to the zoo?",73
"There are 390 students at a school.If each classroom holds 30 students, how many classrooms are needed at the school?",13
Benny bought 7 dozen eggs from the grocery store to bake some cakes.How many eggs did Benny buy ?,84
Joan has saved 6 quarters from washing cars.How many cents does Joan have ?,150
"After eating at the restaurant, Sally, Sam, and Alyssa decided to divide the bill evenly.If each person paid 45 dollars, what was the total of the bill ?",135
There are 8 marbles in each box.How many marbles are in 6 boxes?,48
"Betty has 24 oranges stored in boxes.If there are 3 boxes, how many oranges must go in each box?",8
 Each bag contains 23 pounds of oranges.How many pounds of oranges are in 45 bags?,1035
"Lori has 30 marbles.If she shares them among 5 friends, how many marbles does each friend get?",6
George has 5 boxes of eggs.  Each box holds 3 eggs and there are 9 boxes in a case.How many eggs does George have?,15
 Mrs.  Hilt uses 2 ounces of detergent to wash a pound of clothes.How many ounces of soap will she use to wash 9 pounds of clothes?,18
There are 261 fishbowls.  Each fishbowl has 23 fish.How many fish are there?,6003
Mr.  Guzman bought 48 doughnuts packed equally into 4 boxes.How many doughnuts were in each box?,12
"Jane helped her mom prepare fresh lemonade.If each glass needs 2 lemons, how many glasses of fresh lemonade can she make if they have 18 lemons?",9
Kimberly went to the store 3 times last month.  She buys 7 peanuts each time she goes to the store.How many peanuts did Kimberly buy last month?,21
" Our watermelons have 100 seeds each.If we have 4 watermelons, how many seeds should there be when all seeds are taken out of the  watermelons?",400
"There were a total of 323 football games in the season.  The season is played for 17 months.How many football games were played each month, if each month has the same number of games?",19
Nancy has 9 five dollars bills.How much money does she have ?,45
Sara goes fishing with Melanie.  Sara catches 5 trout.  Melanie catches 2 times as many trout as Sara.How many trout did Melanie catch ?,10
"Christian’s father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks.If every sack can contain around 20 pieces of wood, how many sacks were they able to fill if they gathered 80 pieces of wood?",4
Mrs.  Hilt is baking bread.  She needs 5 cups of flour to bake 2 loaves of bread.How much flour will she need to make one loaf of bread?,2.5
Ronald went to the store 2 times last month.  He buys 10 bananas each time he goes to the store.How many bananas did Ronald buy last month?,20
Kathleen went to the store 5 times last month.  She buys 5 bottle caps each time she goes to the store.How many bottle caps did Kathleen buy last month?,25
It took Amanda 3 hours to stroll to Kimberly's house at 2 miles per hour.How far is it between Amanda's house and Kimberly's house?,6
 Mrs.  Hilt reads 5 books a day.How many books does she read in 3 days?,15
"Each child has 2 candies.If there are 9 children, how many candies are there in total?",18
 Johnny practiced for the track team and ran 3 laps per minute.How many minutes did it take Johnny to run 10 laps?,3.33333
 Mrs.  Hilt has 50 cents.  A pencil costs 5 cents.How many pencils can she buy with the money she has?,10
Christine wandered 20 miles at 4 miles per hour.How long did Christine wander?,5
" My car gets 20 miles per gallon of gas.If Grandma’s house is 100 miles away, how many gallons of gas would it take to get to her house?",5
"On Friday, 1250 people visited the zoo.  3 times as many people visited on Saturday than on Friday.How many people visited the zoo on Saturday?",3750
 Jill invited 37 people to her birthday party.  They each ate 8 pieces of pizza.How many pieces of pizza did they eat?,296
Nancy bought 615 crayons that came in packs of 15.How many packs of crayons did Nancy buy?,41
"Each child has 6 pencils.If there are 2 children, how many pencils are there in total?",12
"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger.If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?",20
Each bottle cap costs $2. 00.How much do 6 bottle caps cost?,12
".If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",2
"Jane had been saving large empty cans to serve as pots for sunflowers.If she has 54 sunflower seeds and there are 9 cans, how many seeds will be placed in each can if she places an equal number of seeds in each can?",6
 Jesse’s room is 12 feet long and 8 feet wide.How much carpet does she need to cover the whole floor?,96
There are 60 calories in a candy bar.How many dozen calories are there in 45 candy bars?,225
 Robin has 27 packages of gum.  There are 18 pieces in each package.How many pieces of gum does Robin have?,486
"Bryan took a look at his books as well.If Bryan has 56 books in each of his 9 bookshelves, how many books does he have in total?",504
Gloria has 9 boxes of tickets.  Each box holds 5 tickets and there are 10 boxes in a case.How many tickets does Gloria have?,45
Lemon heads come in packages of 6.  Louis ate 54 Lemon Heads.How many whole boxes did he eat and how many Lemon Heads does he have left?,9
 We ordered 21 pizzas.  Each pizza has 8 slices.How many slices of pizza are there altogether?,168
There are 31 calories in a candy bar.How many calories are there in 11 candy bars ?,341
Nancy has 7 black balloons.  Mary has 4 times more  black balloons than Nancy.How many black balloons does Mary have now ?,28
Mark sprinted 24 miles at 6 miles per hour.How long did Mark sprint?,4
"Each child has 3 oranges.If there are 4 children, how many oranges are there in total?",12
 Each cup contains 8 ounces.How many ounces are in 33 cups?,264
 Melissa scored 120 points in each game.How many points did she score in 10 games?,1200
 A candy store has 6 boxes of chocolates.  Each box has 500 pieces.How many pieces are there altogether in the boxes?,3000
Lewis then went to see the oranges being harvested.  Lewis found out that they harvest 83 sacks per day.How many sacks of oranges will they have after 6 days of harvest?,498
 Brett drove 55 miles every hour.How many miles would he drive in 8 hours?,440
.How many cookies would you have if you had 37 bags of cookies with 19 cookies in each bag?,703
".If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",3
 There are 397 butterflies.  Each butterfly has 12 black dots and 17 yellow dots.How many black dots are there in all?,4764
"Mike worked 3 hours, each day, for 5 days.How many hours did he work in total ?",15
Jose strolled to Jane's house.  It is 24 miles from Jose's house to Jane's house.  It took Jose 12 hours to get there.How fast did Jose go?,2
Nancy has saved 4900 cents from selling lemonade.How many dollars does Nancy have?,49
 58 children are taking a bus to the zoo.  They sit 2 children in every seat.How many seats will the children need in all?,29
Deborah is inviting 10 friends to a party.  She has 80 cookies.How many cookies will each friend get?,8
"Jesse has 21 bananas.If he shares them among 3 friends, how many bananas does each friend get?",7
Rachel strolled to Nicholas's house.  It is 10 miles from Rachel's house to Nicholas's house.  It took Rachel 5 hours to get there.How fast did Rachel go?,2
The Ferris wheel in Paradise Park has 14 seats.  Each seat can hold 6 people.How many people can ride the Ferris wheel at the same time?,84
"It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family.  This year, she placed a cinnamon ball every day in the socks for 5 of her family members.How long can she do this if she bought 50 cinnamon balls?",10
Ellen went to a garage sale to buy chairs.  Each chair is 15 dollars.How much did Ellen spend for the 12 chairs she bought?,180
Jessica has 3 dozen red marbles.  Sandy has 4 times more red marbles than Jessica.How many red marbles does Sandy have ?,144
Sally saw 1 dozen birds in a tree.How many birds did Sally see ?,12
 A box of books weighs 42 pounds.  Each book weighs 3 pounds.How many books are there in the box?,14
James rode 80 miles at 16 miles per hour.How long did James ride?,5
Keith bought 72 eggs from the store to bake some cakes.How many dozen eggs did Keith buy?,6
Your class is having a pizza party.  You buy 5 pizzas.  Each pizza has 4 slices.How many slices is that altogether?,20
Melanie goes fishing with Tom.  Melanie catches 8 trout.  Tom catches 2 times as many trout as Melanie.How many trout did Tom catch ?,16
Patrick jogged to Aaron's house.  It is 14 miles from Patrick's house to Aaron's house.  It took Patrick 2 hours to get there.How fast did Patrick go?,7
" There are 10 stickers on a page.If you have 22 pages of stickers, how many stickers do you have?",220
"Melanie, Benny, Sally, and Jessica each have 3 baseball cards.How many baseball cards do they have in all ?",12
".If books came from all the 4 continents that Bryan had been into and he collected 122 books per continent, how many books does he have from all 4 continents combined?",488
Juan ran 80 miles at 10 miles per hour.How long did Juan run?,8
" White t-shirts can be purchased in packages of 6.If Mom buys 71 packages, how many white t-shirts will she have?",426
"Michael has 16 blocks stored in boxes.If there are 8 boxes, how many blocks must go in each box?",2
".If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",5
 There are 544 pots.  Each pot has 32 flowers in it.How many flowers are there in all?,17408
 You have 24 cookies and want to share them equally with 6 people.How many cookies would each person get?,4
"Sally earns $12. 50 an hour cleaning houses.If she works for 12 hours, how much money will she make ?",150
Tim has 13 dozen golf balls.How many golf balls does he have ?,156
 Sarah picked 45 apples.  Her brother picked 9 apples.How many times as many apples did Sarah pick?,5
"There are 30 candies in Kathy's candy collection.If the candies are organized into 10 groups, how big is each group?",3
 Your class is having a pizza party.  You buy 5 pizzas.  Each pizza has 4 slices.How many slices is that altogether?,20
My car gets 20 miles per gallon of gas.How many miles can I drive on 5 gallons of gas?,100
 Mary’s car gets 20 miles per gallon of gas.How far can she drive on 14 gallons of gas?,280
" I have 648 pencils.If I put 4 pencils in each pencil box, how many pencil boxes will I fill?",162
 Mrs.  Hilt measured the distance from her desk to the water fountain.  It was 30 feet.  How many feet will Mrs.Hilt walk on her trips to the  fountain if she goes to the water fountain 4 times today?,120
Elizabeth is inviting 5 friends to a party.  She has 5 cookies.How many cookies will each friend get?,1
"For the final act, the circus brought out dancing animals wearing crowns.If each crown is made with 7 different colored feathers, how many feathers are needed for 934 crowns?",6538
" You are reading a book with 120 pages.If you want to read the same number of pages each night, how many would you have to read each  night to finish in 10 days?",12
Michelle has 7 boxes of crayons.  Each box holds 5 crayons.How many crayons does Michelle have?,35
Mike has 45 dollars in 5 dollar bills.How many five dollars bills does  he have ?,9
Mrs.  Hilt uses 2 ounces of detergent to wash a pound of clothes.  How many ounces of soap will Mrs.Hilt use to wash 9 pounds of clothes?,18
 Lansing has 25 elementary schools.  There are 247 students in each school.How many elementary students are there altogether in Lansing?,6175
Jack is inviting 4 friends to a party.  He has 4 cookies.How many cookies will each friend get?,1
There are 3 eggs in each box.How many eggs are in 2 boxes?,6
Lemon heads come in packages of 6.  Louis ate 54 Lemon Heads.How many whole boxes did he eat and how many Lemon Heads does he have left?,9
"There were a total of 10 soccer games in the season.  The season is played for 5 months.How many soccer games were played each month, if each month has the same number of games?",2
The school is planning a field trip.  There are 180 students and 60 seats on each school bus.How many buses are needed to take the trip?,3
"Betty also bought 140 shiny blue round stones.If 14 pieces of this stone is in each bracelet, how many bracelets of blue shiny round stones will there be?",10
"Ashley sold 12 boxes of Samoas.How many cases of 12 boxes, plus extra boxes does Ashley need?",1
"There are 4 children in the classroom, each student will get 2 pencils.How many pencils will the teacher have to give out ?",8
"Haley has 63 magazines in her cabinet.  She plans to send it to the recycling office in their area.If she places it in boxes which can contain 9 magazines, how many boxes will Hayley use?",7
 One pencil weighs 28. 3 grams.How much do 5 pencils weigh?,141.5
The Spurs basketball team has 22 players.  Each player has 11 basketballs.How many basketballs do they have in all?,242
"Virginia has 16 eggs and 8 Skittles.If she shares the eggs among 4 friends, how many eggs does each friend get?",4
Tyler had 15 dogs.  Each dog had 5 puppies.How many puppies does Tyler now have?,75
"There are 960 students at a school.If each classroom holds 30 students, how many classrooms are needed at the school?",32
 A garden has 52 rows and 15 columns of bean plans.How many plants are there in all?,780
If Stephanie ran for 3 hours at 5 miles per hour.How far did Stephanie go?,15
"Brenda, Betty’s sister, wanted to have 3 bracelets with star-shaped stones.  She also bought 36 star-shaped stones from the local store and gave it to Betty.How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?",12
 There are 37 baskets.  There are 17 apples in each basket.How many apples are there in all?,629
Students went to a concert in 8 buses.  Each bus took 45 students.How many students went to the concert?,360
 A bee has 6 legs.How many legs do 8 bees have?,48
 It takes 4 apples to make 1 pie.How many apples does it take to make 504 pies?,2016
Martin strolled to Lawrence's house.  It is 12 miles from Martin's house to Lawrence's house.  It took Martin 6 hours to get there.How fast did Martin go?,2
"There are 36 bananas in Diane's banana collection.If the bananas are organized into 6 groups, how big is each group?",6
Melanie has 84 blue marbles.  Sandy has 8 times more blue marbles than Melanie.How many dozen blue marbles does Sandy have?,56
 Mr.  Guzman bought 48 doughnuts packed equally into 4 boxes.How many doughnuts were in each box?,12
It took Carl 5 hours to ride to Ralph's house at 2 miles per hour.How far is it between Carl's house and Ralph's house?,10
"Shiela has 6 neighbors who like to collect animal drawings.  Shiela drew 54 animals on small pieces of paper.If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?",9
 Lisa rented 4 DVDs for $4. 80.How much did each DVD cost to rent?,1.2
"There are 7 students in the class and 42 apples.If the apples are divided equally among the students, how many does each student get?",6
Brenda wants to split a collection of erasers into groups of 90.  Brenda has 270 erasers.How many groups will be created?,3
 Mrs.  Hilt ate 5 apples every hour.How many apples had she eaten at the end of 3 hours?,15
"Allen, Shiela’s brother, likes to play with blocks.  Shiela repainted Allen’s old blocks in different colors.If Allen has 49 identical blocks and there are 7 blocks for every color of paint used, how many colors did Shiela use?",7
" I walked 2 miles in 1 hour for Relay for Life.If I maintained this pace for the 8 hours I walk, how many miles total will I walk?",16
"Ryan has 72 marbles and 17 blocks.If he shares the marbles among 9 friends, how many marbles does each friend get?",8
Lisa rented 4 DVDs for $4. 80.How much did each DVD cost to rent?,1.2
Sarah has 7 boxes of apples.  Each box holds 7 apples.How many apples does Sarah have?,49
"Uncle Dave bought 143 ice cream sandwiches.If he wants to give them to his 11 hungry nieces, how many can each niece get?",13
Jacqueline has 4 boxes of erasers.  Each box holds 10 erasers and there are 9 boxes in a case.How many erasers does Jacqueline have?,40
"There are 35 bottle caps in Beverly's bottle cap collection.If the bottle caps are organized into 7 groups, how big is each group?",5
A restaurant sold 8 pies every day for a week.How many pies were sold during the week ?,56
"Mike has 96 muffins, which he needs to box up into dozens.How many boxes does he need?",8
Robin has 27 packages of gum.  There are 18 pieces in each package.How many pieces of gum does Robin have?,486
 Beth has 4 packs of crayons.  Each pack has 10 crayons in it.  She also has 6 extra crayons.How many crayons does Beth have altogether?,40
It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour.How far is it between Amanda's house and Kimberly's house?,10
"The library is divided into different sections for different type of books.  The science fiction section has 8 books.If each book has 478 pages, how many pages do all the books have in total?",3824
Marcia spent 300 minutes working on her science project.How many hours did Marcia spend on her science project?,5
Mrs.  Hilt has 40 markers.  They are divided equally into 7 packages.  Mrs.Hilt wants to know how many markers are in each package?,5
"A large bag of balls was kept under Haley’s bed.  Her mom placed the balls in bags for children in foster homes.If every bag can contain 4 balls and Haley has 36 balls, how many bags will be used?",9
 Mrs.  Hilt bought an ice cream cone for 99 cents.How much would 2 ice cream cones cost?,198
"Fred earns $12. 50 an hour cleaning houses.If he works for 8 hours, how much money will he make ?",100
The school is planning a field trip.  There are 28 students and 7 seats on each school bus.How many buses are needed to take the trip?,4
.How many cookies would you have if you had 37 bags of cookies with 19 cookies in each bag?,703
"Jack has a section filled with short story booklets.If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",441
 Martha bought 18 small cakes.  She has 3 children.  She would like to divide the cakes among her children so that each child gets the same  amount.How many cakes would each child get?,6
 Warren has 252 guests coming to his party.  Each table will hold 4 guests.How many tables will he need?,63
 There are 14240 books in a library.  They are arranged on shelves that hold 8 books each.How many shelves are in the library?,1780
Sara saw 96 birds in a tree.How many dozen birds did Sara see?,8
".If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",5
"Jane’s dad brought home 24 marble potatoes.If Jane’s mom made potato salad for lunch and served an equal amount of potatoes to Jane, herself and her husband, how many potatoes did each of them have?",8
"Eric has 9306 erasers.If he shares them among 99 friends, how many erasers does each friend get?",94
"There are 46 children in the classroom, each student will get 4 dozen pencils.How many pencils will the teacher have to give out ?",2208
" Brian’s car gets 20 miles per gallon.  On his last trip, he used 3 gallons of gas.How many miles did he travel on his last trip?",60
The school is planning a field trip.  There are 45 students and 9 seats on each school bus.How many buses are needed to take the trip?,5
Emily sprinted to Timothy's house.  It is 10 miles from Emily's house to Timothy's house.  It took Emily 2 hours to get there.How fast did Emily go?,5
Mark sprinted 24 miles at 6 miles per hour.How long did Mark sprint?,4
 Kim has 4 cousins.  She wants to give each cousin 5 pieces of gum.How much gum will she need?,20
Mrs.  Hilt needs to share $3. 75 equally among 3 total people.How much money will each person get?,1.25
Sara has 192 golf balls.How many dozen golf balls does she have?,16
"The first act included 5 clown mobiles, each stuffed with 28 clowns.How many clowns are inside all the clown mobiles combined?",140
".If Benjamin strolled 14 miles at 2 miles per hour, how long was Benjamin travelling?",7
 Marlee has 12 guests coming to her Halloween party.  Each table will hold 3 guests.How many tables will she need?,4
" Julian is writing a comic book.  His story has 143 frames in all.If he wants to put exactly 11 frames on each page, how many pages would  he have?",13
" Sue’s mother made 75 cookies.  She put the cookies in bags, with 3 cookies in each bag.How many bags could she fill up?",25
"Peter has 3 candies stored in boxes.If there are 3 boxes, how many candies must go in each box?",1
If Anne wandered for 3 hours at 2 miles per hour.How far did Anne go?,6
 Mrs.  Hilt saw 3 bugs eat 2 flowers each.How many flowers total did the bugs eat?,6
Mike has 48 books.  Alyssa has 8 times more books than  Mike.How many dozen books does Alyssa have?,32
.How much would 136 pieces of bubble gum cost if each piece costs 18 cents?,2448
"There are 9 students in the class and 81 tickets.If the tickets are divided equally among the students, how many does each student get?",9
George has 2 boxes of blocks.  Each box holds 6 blocks and there are 5 boxes in a case.How many blocks does George have?,12
"White t-shirts can be purchased in packages of 6.If Mom buys 71 packages, how many white t-shirts will Mom have?",426
Henry wants to split a collection of crayons into groups of 6.  Henry has 42 crayons.How many groups will be created?,7
We ordered 21 pizzas.  Each pizza has 8 slices.How many slices of pizza are there altogether?,168
".If Harold split 15 apples between 3 people in her class and kept the left overs, how many apples did each classmate get?",5
Lisa flew 256 miles at 32 miles per hour.How long did Lisa fly?,8
"For dessert, Jane’s mom prepared 12 pieces of bite-size cinnamon swirls.If the 3 of them ate an equal number of pieces of cinnamon swirls, how many pieces did Jane eat?",4
" There are 5 people on the Green Bay High track team.If a relay race is 150 meters long, how far will each  team member have to run?",30
"9 of Hayley’s closest friends like stickers.If she plans to give all of them an equal number of stickers, how many will each receive if she has 72 stickers?",8
There are 124 students making 3 stars each for the school wall.How many stars will they make all together?,372
 A fruit farm packs oranges in boxes that hold 10 each.  One day it packs 2650 oranges.How many boxes did they use?,265
"Lexie’s younger brother helped pick up all the paper clips in Lexie’s room.  He was able to collect 81 paper clips.If he wants to distribute the paper clips in 9 boxes, how many paper clips will each box contain?",9
